name,shape,numel,layer,kind
model.embed_tokens.weight,32000x5120,163840000,,embeddings
model.layers.0.self_attn.q_proj.weight,5120x5120,26214400,0,attn.q_proj
model.layers.0.self_attn.k_proj.weight,5120x5120,26214400,0,attn.k_proj
model.layers.0.self_attn.v_proj.weight,5120x5120,26214400,0,attn.v_proj
model.layers.0.self_attn.o_proj.weight,5120x5120,26214400,0,attn.o_proj
model.layers.0.mlp.gate_proj.weight,13824x5120,70778880,0,mlp.gate_proj
model.layers.0.mlp.up_proj.weight,13824x5120,70778880,0,mlp.up_proj
model.layers.0.mlp.down_proj.weight,5120x13824,70778880,0,mlp.down_proj
model.layers.0.input_layernorm.weight,5120,5120,0,pre_attn_norm
model.layers.0.post_attention_layernorm.weight,5120,5120,0,post_attn_norm
model.layers.1.self_attn.q_proj.weight,5120x5120,26214400,1,attn.q_proj
model.layers.1.self_attn.k_proj.weight,5120x5120,26214400,1,attn.k_proj
model.layers.1.self_attn.v_proj.weight,5120x5120,26214400,1,attn.v_proj
model.layers.1.self_attn.o_proj.weight,5120x5120,26214400,1,attn.o_proj
model.layers.1.mlp.gate_proj.weight,13824x5120,70778880,1,mlp.gate_proj
model.layers.1.mlp.up_proj.weight,13824x5120,70778880,1,mlp.up_proj
model.layers.1.mlp.down_proj.weight,5120x13824,70778880,1,mlp.down_proj
model.layers.1.input_layernorm.weight,5120,5120,1,pre_attn_norm
model.layers.1.post_attention_layernorm.weight,5120,5120,1,post_attn_norm
model.layers.2.self_attn.q_proj.weight,5120x5120,26214400,2,attn.q_proj
model.layers.2.self_attn.k_proj.weight,5120x5120,26214400,2,attn.k_proj
model.layers.2.self_attn.v_proj.weight,5120x5120,26214400,2,attn.v_proj
model.layers.2.self_attn.o_proj.weight,5120x5120,26214400,2,attn.o_proj
model.layers.2.mlp.gate_proj.weight,13824x5120,70778880,2,mlp.gate_proj
model.layers.2.mlp.up_proj.weight,13824x5120,70778880,2,mlp.up_proj
model.layers.2.mlp.down_proj.weight,5120x13824,70778880,2,mlp.down_proj
model.layers.2.input_layernorm.weight,5120,5120,2,pre_attn_norm
model.layers.2.post_attention_layernorm.weight,5120,5120,2,post_attn_norm
model.layers.3.self_attn.q_proj.weight,5120x5120,26214400,3,attn.q_proj
model.layers.3.self_attn.k_proj.weight,5120x5120,26214400,3,attn.k_proj
model.layers.3.self_attn.v_proj.weight,5120x5120,26214400,3,attn.v_proj
model.layers.3.self_attn.o_proj.weight,5120x5120,26214400,3,attn.o_proj
model.layers.3.mlp.gate_proj.weight,13824x5120,70778880,3,mlp.gate_proj
model.layers.3.mlp.up_proj.weight,13824x5120,70778880,3,mlp.up_proj
model.layers.3.mlp.down_proj.weight,5120x13824,70778880,3,mlp.down_proj
model.layers.3.input_layernorm.weight,5120,5120,3,pre_attn_norm
model.layers.3.post_attention_layernorm.weight,5120,5120,3,post_attn_norm
model.layers.4.self_attn.q_proj.weight,5120x5120,26214400,4,attn.q_proj
model.layers.4.self_attn.k_proj.weight,5120x5120,26214400,4,attn.k_proj
model.layers.4.self_attn.v_proj.weight,5120x5120,26214400,4,attn.v_proj
model.layers.4.self_attn.o_proj.weight,5120x5120,26214400,4,attn.o_proj
model.layers.4.mlp.gate_proj.weight,13824x5120,70778880,4,mlp.gate_proj
