name,shape,numel,layer,kind
model.embed_tokens.weight,151936x2048,311164928,,embeddings
model.layers.0.self_attn.q_proj.weight,2048x2048,4194304,0,attn.q_proj
model.layers.0.self_attn.q_proj.bias,2048,2048,0,attn.q_proj
model.layers.0.self_attn.k_proj.weight,256x2048,524288,0,attn.k_proj
model.layers.0.self_attn.k_proj.bias,256,256,0,attn.k_proj
model.layers.0.self_attn.v_proj.weight,256x2048,524288,0,attn.v_proj
model.layers.0.self_attn.v_proj.bias,256,256,0,attn.v_proj
model.layers.0.self_attn.o_proj.weight,2048x2048,4194304,0,attn.o_proj
model.layers.0.mlp.gate_proj.weight,11008x2048,22544384,0,mlp.gate_proj
model.layers.0.mlp.up_proj.weight,11008x2048,22544384,0,mlp.up_proj
model.layers.0.mlp.down_proj.weight,2048x11008,22544384,0,mlp.down_proj
model.layers.0.input_layernorm.weight,2048,2048,0,pre_attn_norm
model.layers.0.post_attention_layernorm.weight,2048,2048,0,post_attn_norm
model.layers.1.self_attn.q_proj.weight,2048x2048,4194304,1,attn.q_proj
model.layers.1.self_attn.q_proj.bias,2048,2048,1,attn.q_proj
model.layers.1.self_attn.k_proj.weight,256x2048,524288,1,attn.k_proj
model.layers.1.self_attn.k_proj.bias,256,256,1,attn.k_proj
model.layers.1.self_attn.v_proj.weight,256x2048,524288,1,attn.v_proj
model.layers.1.self_attn.v_proj.bias,256,256,1,attn.v_proj
model.layers.1.self_attn.o_proj.weight,2048x2048,4194304,1,attn.o_proj
model.layers.1.mlp.gate_proj.weight,11008x2048,22544384,1,mlp.gate_proj
model.layers.1.mlp.up_proj.weight,11008x2048,22544384,1,mlp.up_proj
model.layers.1.mlp.down_proj.weight,2048x11008,22544384,1,mlp.down_proj
model.layers.1.input_layernorm.weight,2048,2048,1,pre_attn_norm
model.layers.1.post_attention_layernorm.weight,2048,2048,1,post_attn_norm
model.layers.2.self_attn.q_proj.weight,2048x2048,4194304,2,attn.q_proj
